Date,Atlanta AWS Migration,Canada AWS Platform,OC West Expansion,IDP,Genesys to Twilio,LDAP to OIDC,Snapshot
2026-06-24,YELLOW,YELLOW,YELLOW,RED,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/72bc88f80200cd4dd48a250e7ee1ae26e1c5406d/index.html
2026-06-25,YELLOW,YELLOW,YELLOW,RED,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/317ea1dd20cc9ec04ff185cca9bec4ae416f8542/index.html
2026-06-26,YELLOW,YELLOW,YELLOW,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/2ea87fda1b5d10ca43b404cd45b913fd463ad1fd/index.html
2026-06-27,YELLOW,YELLOW,YELLOW,RED,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/3ee446bcc0c168e2fb9b7ded2f005ce0a23a695c/index.html
2026-06-28,YELLOW,YELLOW,YELLOW,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/ed48a180ea6a69df84891d2a3906bb6249c5039a/index.html
2026-06-29,YELLOW,YELLOW,YELLOW,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/1599cecafa93d564af9f00b1a81f16200951d576/index.html
2026-06-30,YELLOW,YELLOW,YELLOW,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/2046510aa0094f8d1a993ca8e497d8acf4c9155f/index.html
2026-07-01,YELLOW,YELLOW,YELLOW,RED,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/4cdc2b8a904334f34787a815d62a5d17541adaf8/index.html
2026-07-02,YELLOW,YELLOW,YELLOW,RED,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/7606d4831bfc2389b2db7fc0ba452832c834b692/index.html
2026-07-03,YELLOW,GREEN,RED,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/04725a9dc07bb3cad1b668304731506ff2c06bc2/index.html
2026-07-04,YELLOW,YELLOW,RED,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/9ed2865c22b6da641391b48b64d1456dbc4bc279/index.html
2026-07-05,YELLOW,GREEN,RED,YELLOW,,,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/dad5422ffebb13b4d69279b907a7e10873cd4a81/index.html
2026-07-06,YELLOW,GREEN,RED,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/10bd99a85e54bab32d241657adcb234c4ca40cf6/index.html
2026-07-07,RED,GREEN,RED,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/943c4afa0d7bfb04a16a064f1cea672124ae710e/index.html
2026-07-08,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/2a971fe46712c59c72a4617fd9cb399806b67d43/index.html
2026-07-09,YELLOW,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/ab88191c1722f9bbdc1f7187dc90a1e977ac53f8/index.html
2026-07-10,YELLOW,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/cb1a73bb6a814b0a17f26ded6f9d41d1ff3b09c2/index.html
2026-07-11,YELLOW,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/3ce331542f6072c2b7dfa67c868b527c08160746/index.html
2026-07-12,YELLOW,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/7b71b278a60a39cb9f542d275deeff59cc3c47a8/index.html
2026-07-13,YELLOW,YELLOW,GREEN,YELLOW,YELLOW,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/636b8bf3cd5421f8d89b3c091d04b3a46a06868a/index.html
2026-07-14,YELLOW,YELLOW,GREEN,YELLOW,RED,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/6c25763221a9d7edddc18ebec28f33cf71653bc0/index.html
2026-07-15,YELLOW,YELLOW,GREEN,RED,RED,YELLOW,https://htmlpreview.github.io/?https://github.com/JonnyBir/perfectserve-aws-exec-dashboard/blob/b5065c26a048d40037fdeaae29b97352fc0d7d0f/index.html
